SourceStimuliName,SourceStimuliNameArray,Brow Furrow,Cheek Raise,Inner Brow Raise,Lip Suck,Pitch
Sad,0,21.71959877,1.20E-05,0.088095911,4.601769924,-19.66534805
Sad,0,21.16640472,1.21E-05,0.094310157,7.251740932,-19.15672493
Sad,0,22.35606194,1.24E-05,0.097003199,10.27807236,-19.04969406
Sad,0,23.44028282,1.13E-05,0.105008066,12.18144989,-20.01542664
Sad,0,23.77746201,1.07E-05,0.102585673,14.49199104,-19.57010651
Sad,0,21.11808014,1.00E-05,0.097511262,16.77750778,-19.61602974
Sad,0,20.46765137,9.48E-06,0.094882563,16.81700325,-19.49073792
Sad,0,20.39093781,9.27E-06,0.101718068,18.753479,-19.2024231
Sad,0,19.14034653,7.83E-06,0.113547221,21.85476494,-19.44706917
Sad,0,18.25606155,6.81E-06,0.115605608,20.51709175,-19.6988163
Sad,0,18.03082466,6.21E-06,0.108924121,21.94231415,-19.68530083
Sad,0,17.33406448,5.33E-06,0.111679494,20.58415031,-19.39160347
Sad,0,18.99578667,4.58E-06,0.112874709,21.94277,-19.41171646
Sad,0,20.87019157,4.10E-06,0.117989309,23.0866394,-18.90593529
Sad,0,22.75065231,4.09E-06,0.120796852,22.81509399,-18.4024334
Sad,0,23.62546349,4.01E-06,0.125263035,26.44016266,-18.6704216
Sad,0,26.32705116,3.73E-06,0.133458078,28.95748711,-18.82669067
Sad,0,26.56615639,3.67E-06,0.128543898,32.51426315,-18.62544632
Sad,0,28.00791931,3.63E-06,0.132218614,34.20999527,-19.0480938
Sad,0,30.09809494,4.10E-06,0.128875867,41.51106644,-18.55304527
Sad,0,32.5562706,4.08E-06,0.136327475,47.53479385,-18.92339897
Sad,0,37.13232422,3.70E-06,0.149037004,50.72675705,-18.77721977
Sad,0,41.75988007,3.95E-06,0.16624856,53.43238831,-18.77153587
Sad,0,50.76807404,4.05E-06,0.195718095,54.12944031,-18.96129036
Sad,0,58.06627274,4.42E-06,0.220648587,55.20389557,-18.5293026
Sad,0,64.23163605,4.78E-06,0.281719178,57.62714386,-18.3324604
Sad,0,69.95323181,5.72E-06,0.362255126,52.35380936,-18.87337494
Sad,0,72.83973694,7.23E-06,0.452478558,49.72710037,-18.44698524
Sad,0,73.99623108,9.53E-06,0.542687893,38.84903336,-18.01184845
Sad,0,76.13452148,1.14E-05,0.640974343,32.58586502,-18.47502136
Sad,0,76.85322571,1.45E-05,0.772158742,25.46622086,-17.54353714
Sad,0,77.07931519,1.92E-05,0.887198448,17.35810852,-18.18465233
Sad,0,77.28839874,2.15E-05,1.215053439,12.2083168,-17.59698677
Sad,0,77.51953125,2.67E-05,1.513268948,7.044555664,-16.9027462
Sad,0,78.82608795,3.41E-05,1.973147392,4.22198534,-16.18138123
Sad,0,79.06534576,4.13E-05,2.746376276,2.4968431,-16.96751785
Sad,0,81.23171234,5.10E-05,3.723682165,1.314626575,-16.08161163
Sad,0,80.93692017,5.64E-05,4.916227818,0.843453705,-16.07688332
Sad,0,80.19638824,6.58E-05,6.404606342,0.510280728,-16.43420219
Sad,0,79.82874298,7.40E-05,7.548137188,0.326313972,-15.56175232
Sad,0,78.76136017,8.69E-05,10.34712029,0.204980016,-15.88271523
Sad,0,77.07038116,9.86E-05,11.69545841,0.149730474,-15.17990589
Sad,0,74.57372284,0.000115004,14.36298561,0.130782574,-14.86874771
Sad,0,70.87993622,0.000126132,15.74638367,0.10074649,-15.92275906
Sad,0,65.86380768,0.000132151,20.33581734,0.097241938,-15.12407112
Sad,0,60.91093826,0.000122622,24.35010719,0.084703214,-15.15328026
Sad,0,56.06905365,0.000110421,28.54096603,0.07797502,-15.21120548
Sad,0,49.33183289,0.00010112,32.40390015,0.066699401,-14.86054325
Sad,0,45.78859329,0.000100247,33.06795502,0.057203006,-14.54376125
Sad,0,40.29671097,9.56E-05,35.53144836,0.05105513,-14.49657631
Sad,0,34.36613083,7.97E-05,38.95778275,0.04808151,-15.11413288
Sad,0,27.45729065,7.66E-05,40.2453537,0.042180385,-14.53928661
Sad,0,19.80086327,7.69E-05,41.85378265,0.041714355,-14.10144615
Sad,0,15.282691,7.02E-05,42.6613121,0.039822448,-14.8279562
Sad,0,9.392354965,6.95E-05,42.95052338,0.041588292,-15.18434715
